podcast_name_cleaned,segment_id,segment,trump_mention,biden_mention
Bill OReillys No Spin News and Analysis,0,"['samsung' 'tonight' 'focusing' 'zoom' 'galaxy' 'ai' 'new' 'samsung'
 'galaxy' 'ultra' 'ah' 'baby' 'tiger' 'check' 'claws' 'prepares' 'pounce'
 'frog' 'close' 'one' 'close' 'zoom' 'literally' 'count' 'whiskers' 'oh'
 'look' 'mums' 'good' 'thing' 'im' 'nowhere' 'nearby' 'go' 'wild' 'galaxy'
 'ai' 'new' 'ultra' 'zoom' 'epic' 'day' 'night' 'get' 'nowsamsungcom'
 'chumba' 'casino' 'hello' 'ryan' 'flight' 'day' 'playing' 'one'
 'favorite' 'social' 'spin' 'slot' 'games' 'chu' 'casino' 'dot' 'com'
 'looked' 'person' 'sitting' 'next' 'know' 'also' 'playing' 'chumba'
 'casino' 'coincidence' 'think' 'everybodys' 'loving' 'fun' 'chumba'
 'casinos' 'home' 'hundreds' 'casino' 'style' 'games' 'play' 'free'
 'anytime' 'anywhere' 'even' 'feet' 'sign' 'chumba' 'casino' 'dot' 'com'
 'claim' 'free' 'welcome' 'bonus' 'thats' 'chumba' 'casino' 'dot' 'com'
 'live' 'chumba' 'life' 'purchase' 'necessary' 'conditions' 'historian'
 'journalist' 'know' 'united' 'states' 'ups' 'downs' 'guess' 'today'
 'cycle' 'poor' 'leadership' 'apathetic' 'voters' 'voters' 'dont' 'care'
 'two' 'reached' 'perfect' 'storm' 'incompetence' 'driving' 'country'
 'way' 'good' 'citizens' 'dont' 'want' 'go' 'im' 'gonna' 'prove' 'point'
 'tonight' 'want' 'tell' 'doesnt' 'mean' 'okay' 'throughout' 'history'
 'gone' 'gone' 'believe' 'come' 'dont' 'know' 'subject' 'evenings'
 'talking' 'points' 'memo' 'turmoil' 'proper' 'word' 'america' 'bad'
 'political' 'leadership' 'joe' 'biden' 'second' 'worst' 'president'
 'ever' 'serve' 'corrupt' 'corporate' 'media' 'two' 'powerful' 'entities'
 'publics' 'business' 'looking' 'folks' 'got' 'problems' 'massive'
 'problems' 'upcoming' 'vote' 'gonna' 'three' 'major' 'policy'
 'situations' 'first' 'border' 'joe']",0,1
Bill OReillys No Spin News and Analysis,1,"['biden' 'caused' 'single' 'handedly' 'issuing' 'executive' 'order'
 'first' 'day' 'office' 'knocked' 'remaining' 'mexico' 'policy' 'trump'
 'fought' 'achieved' 'biden' 'party' 'democrats' 'backed' 'okay' 'second'
 'violent' 'crime' 'told' 'last' 'night' 'far' 'outta' 'control' 'nations'
 'largest' 'city' 'new' 'york' 'horrifying' 'yet' 'theres' 'leadership'
 'making' 'attempt' 'solve' 'problem' 'getting' 'worse' 'worse' 'worse'
 'third' 'high' 'prices' 'essentials' 'life' 'democrats' 'gonna' 'tell'
 'inflations' 'coming' 'happening' 'thats' 'happen' 'bunch' 'bs' 'alright'
 'wanna' 'live' 'life' 'paper' 'okay' 'living' 'life' 'real' 'manner' 'go'
 'grocery' 'store' 'go' 'restaurant' 'go' 'hardware' 'store' 'pay'
 'insurance' 'premium' 'bills' 'youll' 'see' 'getting' 'punished' 'reason'
 'biden' 'administration' 'happen' 'four' 'years' 'ago' 'period'
 'president' 'doesnt' 'address' 'things' 'hes' 'simply' 'involved' 'ever'
 'heard' 'put' 'forth' 'solution' 'violent' 'crime' 'country' 'one' 'time'
 'ever' 'heard' 'acknowledge' 'pressure' 'regulations' 'fossil' 'fuel'
 'industry' 'ignited' 'inflation' 'ever' 'heard' 'acknowledge' 'wont'
 'border' 'border' 'sits' 'day' 'day' 'white' 'house' 'lift' 'finger'
 'stop' 'tens' 'thousands' 'people' 'coming' 'every' 'day' 'horrifying'
 'thats' 'president' 'yet' 'election' 'hell' 'tomorrow' 'hed' 'get'
 'million' 'plus' 'votes' 'fellow' 'citizens' 'shouldnt' 'hate' 'feel'
 'sorry' 'cant' 'imagine' 'know' 'life' 'short' 'wanna' 'live' 'd'
 'really' 'thats' 'comes' 'wanna' 'd' 'short' 'time' 'youre' 'earth'
 'okay' 'lets' 'segue' 'media' 'know' 'corporate' 'networks' 'b' 'cnbccbs'
 'run' 'liberal' 'people' 'devoted' 'liberal' 'people' 'chronicled'
 'first' 'column' 'st' 'patricks' 'day']",1,1
Bill OReillys No Spin News and Analysis,2,"['march' '17th' 'total' 'black' 'blackball' 'confer' 'conservative'
 'voices' 'networks' 'presto' 'comes' 'nations' 'consciousness' 'six'
 'days' 'later' 'ronna' 'mcdaniel' 'fired' 'nbc' 'know' 'okay' 'reason'
 'happening' 'trump' 'started' 'right' 'elected' 'right' 'defeated'
 'hillary' 'clinton' 'none' 'network' 'chieftains' 'believed' 'happen'
 'believed' 'clinton' 'win' 'shut' 'trump' 'supporters' 'get' 'morning'
 'shows' 'evening' 'shows' 'ive' 'documented' 'hundred' 'different' 'ways'
 'anybody' 'surprised' 'nbc' 'struggling' 'hires' 'republican' 'theres'
 'massive' 'wave' 'left' 'wing' 'indignation' 'within' 'nbc' 'company'
 'surprised' 'hired' 'ronald' 'mcdaniel' 'hundred' 'percent' 'left' 'wing'
 'people' 'feel' 'empowered' 'emboldened' 'fire' 'ms' 'mcdaniel' 'get'
 'situation' 'inmates' 'cliche' 'control' 'asylum' 'dont' 'network'
 'anymore' 'thats' 'memo' 'rasmus' 'paul' 'us' 'likely' 'voters' 'fair'
 'poll' 'democrat' 'republican' 'thats' 'independent' 'compared' 'recent'
 'presidents' 'president' 'biden' 'stronger' 'commander' 'chief' 'weaker'
 'one' 'performance' 'commanderinchief' 'stronger' 'weaker' 'second'
 'question' 'us' 'military' 'failed' 'meet' 'recruiting' 'goals' 'recent'
 'year' 'concerned' 'total' 'concern' 'concerned' 'reason' 'low'
 'recruitment' 'traditional' 'values' 'absolutely' 'obliterated' 'media'
 'okay' 'obliterated' 'younger' 'people' 'realize' 'younger' 'people'
 'literally' 'none' 'watch' 'cable' 'news' 'none' 'three' 'em' 'nobody'
 'age' 'watches' 'number' 'infinitesimal' 'even' 'worth' 'considering'
 'fact' 'ever' 'wonder' 'see' 'medicine' 'commercials' 'ailments' 'older'
 'people' 'thats' 'got' 'pillows' 'go' 'sleep' 'dont' 'see' 'ads' 'tv'
 'ads' 'targeting' 'younger' 'people' 'cause' 'younger' 'people' 'theyre'
 'gone' 'dont' 'watch' 'theyre' 'bored' 'boring' 'watch' 'thats' 'surge'
 'younger']",1,1
Bill OReillys No Spin News and Analysis,4,"['commonality' 'money' 'charged' 'whatever' 'every' 'day' 'industry'
 'attorneys' 'advertise' 'television' 'oh' 'know' 'tell' 'story' 'know'
 'okay' 'wasnt' 'surprising' 'sch' 'slapp' 'got' 'accused' 'big' 'shot'
 'republican' 'party' 'devastate' 'family' 'mean' 'really' 'harm'
 'happens' 'yesterday' 'well' 'guy' 'carlton' 'huffman' 'says' 'im'
 'dropping' 'lawsuits' 'misunderstanding' 'misunderstanding' 'huh' 'says'
 'regret' 'lawsuit' 'caused' 'pain' 'sch' 'slap' 'family' 'regret' 'year'
 'dont' 'know' 'happened' 'blanking' 'clue' 'happened' 'rachel' 'maddow'
 'somehow' 'magically' 'knew' 'happened' 'roll' 'staffer' 'claims' 'mr'
 'schlep' 'invited' 'staffer' 'hotel' 'room' 'declined' 'early' 'last'
 'year' 'young' 'man' 'sued' 'matt' 'schlep' 'sexual' 'battery' 'lawsuit'
 'dragged' 'allegations' 'sexual' 'misconduct' 'matt' 'schlep' 'come'
 'light' 'part' 'discovery' 'sexual' 'battery' 'lawsuit' 'oh' 'dropped'
 'convicts' 'schlep' 'rachel' 'maddow' 'convicted' 'man' 'family'
 'devastated' 'everybody' 'watching' 'yeah' 'hes' 'guilty' 'trial' 'didnt'
 'see' 'stuff' 'gonna' 'get' 'apology' 'rachel' 'maddow' 'dont' 'think'
 'wolf' 'blitzer' 'ran' 'anderson' 'cooper' 'ran' 'morning' 'joe' 'around'
 'apologize' 'today' 'coverage' 'cable' 'news' 'network' 'news' 'programs'
 'television' 'none' 'lawsuit' 'dropped' 'damage' 'shala' 'family'
 'incalculable' 'alright' 'mclaughlin' 'poll' 'interesting' 'poll'
 'trumps' 'prosecutions' 'thousand' 'likely' 'voters' 'democrat'
 'republican' 'bed' 'fair' 'poll' 'first' 'question' 'much' 'role' 'say'
 'politics' 'played' 'indictments' 'former' 'president' 'trump' 'role'
 'role' 'much' 'role' 'say' 'joe' 'biden' 'played' 'indictments' 'trump'
 'roll' 'role' 'agree' 'disagree' 'bidens' 'justice' 'department' 'stop'
 'targeting' 'donald' 'trump' 'agree' 'disagree']",1,1
Bill OReillys No Spin News and Analysis,5,"['final' 'question' 'since' 'donald' 'trump' 'leads' 'joe' 'biden'
 'president' 'many' 'polls' 'think' 'investigations' 'indictment' 'biden'
 'justice' 'department' 'done' 'stop' 'trump' 'running' 'president' 'yes'
 'big' 'pluralities' 'shows' 'americans' 'understand' 'whats' 'going'
 'okay' 'thats' 'good' 'news' 'georgia' 'district' 'attorney' 'founding'
 'willis' 'know' 'affair' 'boyfriend' 'nathan' 'wade' 'happens' 'top'
 'prosecutor' 'hired' 'lot' 'money' 'wade' 'fa' 'go' 'place' 'trips'
 'yeah' 'looks' 'really' 'bad' 'really' 'bad' 'fai' 'says' 'hey' 'didnt'
 'anything' 'wrong' 'go' 'dont' 'feel' 'like' 'reputation' 'needs'
 'reclaimed' 'lets' 'say' 'record' 'im' 'embarrassed' 'anything' 'ive'
 'done' 'still' 'case' 'way' 'needed' 'done' 'dont' 'feel' 'like' 'weve'
 'slowed' 'think' 'efforts' 'slow' 'train' 'train' 'coming' 'well' 'train'
 'almost' 'derailed' 'still' 'might' 'shenanigans' 'fulton' 'county'
 'georgia' 'joining' 'us' 'atlanta' 'congressman' 'barry' 'loudermill'
 'chairman' 'subcommittee' 'oversight' 'house' 'representatives' 'mr'
 'loudermilk' 'looking' 'fanny' 'willis' 'pleased' 'spin' 'news' 'evening'
 'feds' 'involved' 'looking' 'fa' 'point' 'congressman' 'well' 'bill'
 'thanks' 'first' 'well' 'part' 'bigger' 'investigation' 'subcommittee'
 'leading' 'direction' 'speaker' 'kevin' 'mccarthy' 'look' 'really'
 'happened' 'january' '6th' 'security' 'failure' 'also' 'select'
 'committee' 'january' '6th' 'led' 'us' 'fannie' 'willis' 'investigation'
 'uncovered' 'information' 'select' 'committee' 'january' '6th' 'actively'
 'working' 'fannie' 'willis' 'sharing' 'information' 'course'
 'investigation' 'highly' 'unprecedented' 'unusual' 'house' 'committee'
 'select' 'committee' 'turn' 'criminal' 'referral' 'department' 'justice'
 'someone' 'conclusion' 'investigation' 'working' 'investigation'
 'sharing' 'information' 'whats' 'concerning']",1,1
Bill OReillys No Spin News and Analysis,6,"['lot' 'people' 'uncovered' 'irrefutable' 'evidence' 'committee' 'select'
 'committee' 'suppressing' 'evidence' 'didnt' 'line' 'preconceived'
 'narrative' 'donald' 'trump' 'organizing' 'executing' 'riots' 'january'
 '6th' 'lemme' 'stop' 'lemme' 'stop' 'cause' 'wanna' 'keep' 'vivid'
 'simple' 'liz' 'cheneys' 'committee' 'know' 'know' 'right' 'think'
 'established' 'suppress' 'information' 'anything' 'exculpatory' 'didnt'
 'put' 'know' 'put' 'end' 'diminished' 'state' 'beef' 'georgia' 'federal'
 'entity' 'january' '6th' 'committee' 'house' 'representatives'
 'cooperating' 'state' 'beef' 'highly' 'unusual' 'mean' 'havent' 'seen'
 'happen' 'also' 'engaging' 'multiple' 'times' 'including' 'ms' 'cassidy'
 'hutchinson' 'remember' 'shes' 'one' 'came' 'sensational' 'stories'
 'yeah' 'debunked' 'steering' 'wheel' 'right' 'working' 'directly' 'well'
 'working' 'fannie' 'willis' 'right' 'yes' 'de' 'debunked' 'ms'
 'hutchinson' 'mean' 'load' 'garbage' 'made' 'lot' 'money' 'book'
 'reports' 'nathan' 'wade' 'boyfriend' 'top' 'prosecutor' 'ms' 'willis'
 'paramore' 'visited' 'white' 'house' 'look' 'anything' 'cooperation'
 'jim' 'jordan' 'jamie' 'comer' 'whos' 'chair' 'oversight' 'subcommittee'
 'looking' 'aspect' 'multiple' 'jurisdictional' 'boundaries' 'jim'
 'jordan' 'teamed' 'together' 'hes' 'looking' 'visits' 'white' 'house'
 'im' 'looking' 'information' 'given' 'fannie' 'receive' 'exculpatory'
 'information' 'ended' 'turning' 'never' 'saw' 'public' 'public' 'unusual'
 'state' 'prosecutor' 'okay' 'nathan' 'wade' 'get' 'admittance' 'white'
 'house' 'talk' 'white' 'house' 'looks' 'like' 'biden' 'white' 'house'
 'coordinating' 'talk' 'impeachable' 'huge' 'story' 'happened' 'happen'
 'evidence' 'wade' 'went' 'white' 'house' 'talked' 'white' 'house'
 'people' 'according' 'conversations' 'jim' 'jordan' 'whos' 'leading'
 'aspect' 'believes' 'happen' 'wow']",1,1
Bill OReillys No Spin News and Analysis,7,"['dont' 'evidence' 'youre' 'right' 'mean' 'thats' 'big' 'poll' 'numbers'
 'showing' 'american' 'people' 'know' 'politically' 'driven' 'well'
 'thats' 'true' 'jordan' 'thats' 'headline' 'jordan' 'id' 'like' 'defined'
 'trial' 'conspiracy' 'trump' 'charged' 'special' 'counsel' 'alright'
 'smith' 'involved' 'trying' 'overthrow' 'government' 'january' '6th'
 'dont' 'believe' 'hes' 'gonna' 'convicted' 'exculpatory' 'evidence' 'day'
 'long' 'centered' 'valet' 'white' 'house' 'tell' 'us' 'well' 'started'
 'looking' 'early' 'trying' 'look' 'documentation' 'select' 'committee'
 'turned' 'us' 'found' 'lot' 'missing' 'documentation' 'find'
 'transcribed' 'interviews' 'sent' 'white' 'house' 'white' 'house'
 'employees' 'direct' 'access' 'president' 'vice' 'president' 'january'
 '6th' 'crazy' 'tales' 'got' 'outta' 'mrs' 'hutchinson' 'included'
 'engagements' 'valet' 'president' 'threw' 'food' 'onto' 'floor' 'angry'
 'things' 'well' 'agreed' 'mike' 'pence' 'hanged' 'several' 'comments'
 'supposedly' 'made' 'according' 'ms' 'hutchinson' 'well' 'valets'
 'testimony' 'released' 'heavily' 'redacted' 'military' 'personnel'
 'apolitical' 'theyre' 'trying' 'protect' 'identity' 'understand' 'enough'
 'information' 'unredacted' 'portions' 'show' 'wasnt' 'case' 'person'
 'side' 'side' 'president' 'trump' 'day' 'never' 'heard' 'make'
 'statements' 'yes' 'mike' 'pence' 'hung' 'called' 'vulgar' 'names'
 'basically' 'debunked' 'portion' 'testimony' 'oath' 'right' 'testimony'
 'oath' 'valet' 'exactly' 'include' 'tony' 'ordo' 'deputy' 'chief'
 'operations' 'white' 'house' 'missing' 'testimony' 'made' 'public'
 'couple' 'weeks' 'ago' 'totally' 'countered' 'narrative' 'president'
 'trump' 'order' 'national' 'guard' 'ready' 'authorized' 'troops' 'also'
 'driver' 'suv' 'testimony' 'well' 'release' 'sometime' 'soon' 'actually'
 'said' 'none' 'grabbing' 'steering']",1,0
Bill OReillys No Spin News and Analysis,8,"['wheel' 'choking' 'secret' 'service' 'agent' 'bunch' 'crap' 'well'
 'logistically' 'impossible' 'information' 'given' 'subcommittee' 'trump'
 'stuff' 'done' 'thing' 'weve' 'uncovered' 'angry' 'know' 'understand'
 'mean' 'wouldnt' 'angry' 'situation' 'felt' 'like' 'election' 'stolen'
 'nothing' 'rose' 'level' 'impeachment' 'even' 'ethical' 'violation'
 'legal' 'violation' 'right' 'everything' 'youve' 'uncovered' 'followed'
 'law' 'yeah' 'upset' 'may' 'said' 'things' 'trial' 'gets' 'underway'
 'expect' 'trump' 'acquitted' 'jack' 'smith' 'embarrassed' 'believe'
 'honest' 'look' 'evidence' 'theres' 'enough' 'exculpatory' 'evidence'
 'yes' 'released' 'recently' 'theres' 'way' 'hold' 'accountable'
 'happened' 'january' '6th' 'means' 'weve' 'gone' 'three' 'years'
 'without' 'actually' 'looking' 'really' 'happened' 'security' 'failure'
 'capital' 'select' 'committee' 'never' 'looked' 'least' 'never'
 'reported' 'yeah' 'id' 'like' 'know' 'nancy' 'pelosis' 'role' 'attacked'
 'well' 'know' 'attacked' 'defense' 'donald' 'trump' 'one' 'charges'
 'capitol' 'january' '5th' 'day' 'riot' 'something' 'wandering' 'around'
 'wanna' 'address' 'yeah' 'one' 'ridiculous' 'things' 'ever' 'happened'
 'claimed' 'gave' 'tour' 'capitol' 'january' '5th' 'insurrectionists'
 'reconnaissance' 'tour' 'far' 'truth' 'even' 'capitol' 'police'
 'exonerated' 'us' 'didnt' 'stop' 'select' 'committee' 'sorry' 'total'
 'bs' 'story' 'story' 'come' 'came' 'liz' 'cheney' 'weve' 'covered'
 'investigation' 'people' 'visited' 'office' 'stayed' 'capitol' 'office'
 'buildings' 'whole' 'time' 'never' 'got' 'capitol' 'werent' 'even'
 'capitol' 'january' '6th' 'em' 'stayed' 'ellipse' 'mall' 'got' 'bus'
 'went' 'back' 'home' 'georgia' 'none' 'capitol' 'none' 'ever' 'believe'
 'need' 'get' 'everything' 'record' 'final' 'thing' 'gallows']",1,0
Bill OReillys No Spin News and Analysis,9,"['thing' 'gotta' 'get' 'stuff' 'apparently' 'somebody' 'built' 'gallows'
 'tell' 'yeah' 'true' 'six' 'oclock' 'morning' 'january' '6th' 'five'
 'people' 'show' 'still' 'cloak' 'darkness' 'literally' 'build' 'gallows'
 'supposedly' 'gallows' 'left' 'claims' 'hang' 'mike' 'pence' 'doesnt'
 'trump' 'wanted' 'well' 'interesting' 'thing' 'mike' 'pence' 'never'
 'told' 'anybody' 'whether' 'gonna' 'stop' 'certification' 'afternoon'
 'gallows' 'set' 'six' 'oclock' 'morning' 'question' 'stay' 'day' 'long'
 'yeah' 'get' 'built' 'first' 'place' 'dont' 'people' 'outside' 'ma'
 'alright' 'theres' 'lot' 'theres' 'guys' 'investigating' 'security'
 'breakdown' 'capitol' 'one' 'purviews' 'yeah' 'something' 'weve' 'really'
 'taken' 'hard' 'look' 'good' 'weve' 'uncovered' 'intelligence' 'failures'
 'intelligence' 'given' 'capitol' 'police' 'intelligence' 'division'
 'pending' 'attack' 'intelligence' 'suppressed' 'never' 'got' 'passed'
 'along' 'chief' 'police' 'right' 'really' 'hindered' 'lot' 'preparedness'
 'ready' 'also' 'lot' 'political' 'influence' 'capitol' 'police'
 'testimony' 'im' 'working' 'get' 'verification' 'secret' 'service'
 'offered' 'fencing' 'nancy' 'pelosi' 'put' 'prior' 'january' '6th'
 'based' 'intelligence' 'turned' 'didnt' 'like' 'optics' 'irony' 'evening'
 'january' '6th' 'really' 'liked' 'optics' 'security' 'fence' 'around'
 'capitol' 'razor' 'wire' 'national' 'guard' 'around' 'months' 'know'
 'didnt' 'wanna' 'prepare' 'really' 'liked' 'idea' 'optics' 'show' 'think'
 'pelosi' 'think' 'pelosis' 'got' 'deficit' 'gonna' 'testify' 'trial'
 'way' 'think' 'youre' 'gonna' 'called' 'trumps' 'defense' 'lawyers'
 'dont' 'know' 'theyve' 'thing' 'received' 'past' 'wanted' 'subpoena'
 'documents' 'ju' 'dropped' 'subpoena' 'full' 'access' 'whatever'
 'whatever' 'making' 'public' 'really']",1,0
Bill OReillys No Spin News and Analysis,11,"['iowa' 'pennsylvania' 'heart' 'better' 'formula' 'formula' 'learn'
 'morebyheartcom' 'rfk' 'jr' 'announces' 'vice' 'presidential' 'selection'
 'woman' 'named' 'nicole' 'shanahan' 'years' 'old' 'one' 'wealthiest'
 'woman' 'country' 'married' 'one' 'time' 'cofounder' 'google' 'got' 'lot'
 'money' 'separation' 'describes' 'leftwing' 'progressive' 'thats'
 'perfect' 'rfk' 'roll' 'tape' 'fed' 'works' 'wall' 'street' 'allows'
 'millionaire' 'bankers' 'pray' 'upon' 'upon' 'main' 'street' 'american'
 'worker' 'thats' 'nicole' 'left' 'democratic' 'party' 'values' 'didnt'
 'change' 'democratic' 'party' 'okay' 'rfks' 'running' 'left' 'democratic'
 'party' 'right' 'want' 'one' 'sliver' 'connection' 'right' 'america'
 'thats' 'antivax' 'stuff' 'conservatives' 'dont' 'like' 'vaccinations'
 'okay' 'many' 'states' 'think' 'rfk' 'jr' 'ballot' 'right' 'many' 'think'
 'number' 'four' 'new' 'hampshire' 'nevada' 'utah' 'hawaii' 'nevadas'
 'swing' 'state' 'utah' 'go' 'trump' 'hawaii' 'go' 'biden' 'new'
 'hampshire' 'doesnt' 'like' 'trump' 'much' 'play' 'order' 'get' 'state'
 'ballots' 'rfk' 'jr' 'appoint' 'vice' 'president' 'thats' 'one'
 'criteria' 'state' 'different' 'costs' 'enormous' 'amount' 'money' 'im'
 'sure' 'miss' 'shanahan' 'gonna' 'kicking' 'lot' 'money' 'rfks'
 'campaign' 'youve' 'gotta' 'go' 'procedures' 'state' 'get' 'ballot'
 'state' 'different' 'four' 'taken' 'rfk' 'dont' 'know' 'many' 'hes'
 'gonna' 'get' 'democrats' 'try' 'block' 'according' 'polls' 'rfk' 'taken'
 'votes' 'away' 'biden' 'trump' 'two' 'three' 'one' 'democrats' 'dont'
 'want' 'fact' 'rfk' 'juniors' 'family' 'doesnt' 'want' 'go' 'say' 'see'
 'brothers' 'campaign' 'danger' 'siphoning' 'votes' 'away' 'joe' 'biden'
 'policies' 'really']",1,1
