segment_id,podcast_name_cleaned,label
0,Bill OReillys No Spin News and Analysis,0.8
0,Bill OReillys No Spin News and Analysis,0.5
0,Bill OReillys No Spin News and Analysis,0.8
0,Bill OReillys No Spin News and Analysis,1
0,Bill OReillys No Spin News and Analysis,0.7
0,Bill OReillys No Spin News and Analysis,0.2
0,Bill OReillys No Spin News and Analysis,0.4
0,Bill OReillys No Spin News and Analysis,0.5
1,pod save america,0.5
1,pod save america,0.7
1,pod save america,0.8
1,pod save america,0.1
1,pod save america,0.9
1,pod save america,0.6
1,pod save america,0.9
1,pod save america,0.3
1,pod save america,0.9
2,Bill OReillys No Spin News and Analysis,0.7
2,Bill OReillys No Spin News and Analysis,0.3
2,Bill OReillys No Spin News and Analysis,0.1
2,Bill OReillys No Spin News and Analysis,0.3
2,Bill OReillys No Spin News and Analysis,0.9
2,Bill OReillys No Spin News and Analysis,0.5
2,Bill OReillys No Spin News and Analysis,0
2,Bill OReillys No Spin News and Analysis,0.8
3,The Charlie Kirk Show,0.1
3,The Charlie Kirk Show,0.3
3,The Charlie Kirk Show,0.5
3,The Charlie Kirk Show,0.2
3,The Charlie Kirk Show,0.7
3,The Charlie Kirk Show,0.9
3,The Charlie Kirk Show,0.5
4,The Clay Travis and Buck Sexton Show,0.5
4,The Clay Travis and Buck Sexton Show,0.8
4,The Clay Travis and Buck Sexton Show,0.8
4,The Clay Travis and Buck Sexton Show,0.1
4,The Clay Travis and Buck Sexton Show,0.3
4,The Clay Travis and Buck Sexton Show,0.8
4,The Clay Travis and Buck Sexton Show,0.5
4,The Clay Travis and Buck Sexton Show,0.3
5,The Wilderness,0.6
5,The Wilderness,0.4
5,The Wilderness,0.1
5,The Wilderness,0.2
5,The Wilderness,0.7
5,The Wilderness,0.1
5,The Wilderness,0.3
6,The Wilderness,0.2
6,The Wilderness,0.5
6,The Wilderness,0.9
6,The Wilderness,0.1
6,The Wilderness,0.1
6,The Wilderness,0.1
6,The Wilderness,0.8
7,Steve Deace,0.4
7,Steve Deace,0.2
7,Steve Deace,0.9
7,Steve Deace,0.1
7,Steve Deace,0.7
7,Steve Deace,1
7,Steve Deace,0.8
7,Steve Deace,0.1
7,Steve Deace,0.8
7,Steve Deace,0.1
8,The Wilderness,0.9
8,The Wilderness,0.5
8,The Wilderness,0.9
8,The Wilderness,0.1
8,The Wilderness,0.9
8,The Wilderness,0.9
8,The Wilderness,0.7
8,The Wilderness,0.7
8,The Wilderness,0.5
8,The Wilderness,0.1
9,The Wilderness,0.1
9,The Wilderness,0
9,The Wilderness,0.8
9,The Wilderness,0.8
9,The Wilderness,0.8
9,The Wilderness,0.3
10,pod save america,0.3
10,pod save america,1
10,pod save america,0.8
10,pod save america,0.8
10,pod save america,0.5
11,transcripts,0.9
11,transcripts,0.1
11,transcripts,1
11,transcripts,0
11,transcripts,0.3
11,transcripts,0.1
11,transcripts,0.1
12,The Charlie Kirk Show,0
12,The Charlie Kirk Show,0.5
12,The Charlie Kirk Show,0.2
12,The Charlie Kirk Show,0.5
12,The Charlie Kirk Show,0.2
12,The Charlie Kirk Show,0.8
12,The Charlie Kirk Show,1
12,The Charlie Kirk Show,0.8
12,The Charlie Kirk Show,0.9
12,The Charlie Kirk Show,0.5
13,pod save america,0.5
13,pod save america,0.6
13,pod save america,0.2
13,pod save america,0.8
13,pod save america,0.8
13,pod save america,0.5
13,pod save america,0.1
13,pod save america,0.1
14,Stay Tuned with Preet,0.4
14,Stay Tuned with Preet,0.5
14,Stay Tuned with Preet,0.1
14,Stay Tuned with Preet,0.5
14,Stay Tuned with Preet,0.9
14,Stay Tuned with Preet,0.3
14,Stay Tuned with Preet,0.7
15,ben shapiro,0.7
15,ben shapiro,1
15,ben shapiro,0
15,ben shapiro,1
15,ben shapiro,0.4
15,ben shapiro,0.8
15,ben shapiro,1
15,ben shapiro,0.4
16,dan bongino,0
16,dan bongino,0.9
16,dan bongino,0.1
16,dan bongino,1
16,dan bongino,0.5
16,dan bongino,0.9
16,dan bongino,1
16,dan bongino,0.5
16,dan bongino,0.2
17,dan bongino,0.2
17,dan bongino,0.8
17,dan bongino,0.9
17,dan bongino,0.5
17,dan bongino,0.5
17,dan bongino,0.8
17,dan bongino,0.8
17,dan bongino,0.1
17,dan bongino,0.4
18,mark levin,0.2
18,mark levin,0.7
18,mark levin,0.5
18,mark levin,1
18,mark levin,0.5
18,mark levin,0.2
18,mark levin,1
18,mark levin,0.3
18,mark levin,0.2
18,mark levin,0.5
18,mark levin,0.5
18,mark levin,0.1
19,Common Sense with Dan Carlin,0.8
19,Common Sense with Dan Carlin,0
19,Common Sense with Dan Carlin,0.5
19,Common Sense with Dan Carlin,0.2
19,Common Sense with Dan Carlin,0.1
19,Common Sense with Dan Carlin,0.2
19,Common Sense with Dan Carlin,0.8
20,The Charlie Kirk Show,0.8
20,The Charlie Kirk Show,0.8
20,The Charlie Kirk Show,0.7
20,The Charlie Kirk Show,0.4
20,The Charlie Kirk Show,0.9
20,The Charlie Kirk Show,0.1
20,The Charlie Kirk Show,0.3
20,The Charlie Kirk Show,0.8
20,The Charlie Kirk Show,0.5
20,The Charlie Kirk Show,0.3
21,The Clay Travis and Buck Sexton Show,0
21,The Clay Travis and Buck Sexton Show,0.2
21,The Clay Travis and Buck Sexton Show,0.5
21,The Clay Travis and Buck Sexton Show,0
21,The Clay Travis and Buck Sexton Show,0.1
21,The Clay Travis and Buck Sexton Show,0.5
21,The Clay Travis and Buck Sexton Show,0.1
22,Bill OReillys No Spin News and Analysis,0.2
22,Bill OReillys No Spin News and Analysis,0.5
22,Bill OReillys No Spin News and Analysis,0.1
22,Bill OReillys No Spin News and Analysis,0.9
22,Bill OReillys No Spin News and Analysis,0.2
22,Bill OReillys No Spin News and Analysis,0.8
22,Bill OReillys No Spin News and Analysis,0.3
23,Stay Tuned with Preet,0
23,Stay Tuned with Preet,0.2
23,Stay Tuned with Preet,0.2
23,Stay Tuned with Preet,0.6
23,Stay Tuned with Preet,0.9
23,Stay Tuned with Preet,0.8
23,Stay Tuned with Preet,0.3
23,Stay Tuned with Preet,0.5
23,Stay Tuned with Preet,0.4
24,ben shapiro,0.5
24,ben shapiro,0.8
24,ben shapiro,1
24,ben shapiro,1
24,ben shapiro,0.1
25,dan bongino,0
25,dan bongino,0.3
25,dan bongino,0
25,dan bongino,0.9
25,dan bongino,0.9
25,dan bongino,0.3
25,dan bongino,0.7
26,mark levin,1
26,mark levin,0.5
26,mark levin,0
26,mark levin,0.3
26,mark levin,0.4
26,mark levin,0.9
26,mark levin,0.5
26,mark levin,0.7
27,mark levin,0
27,mark levin,0.8
27,mark levin,0.5
27,mark levin,0.8
27,mark levin,0.5
27,mark levin,0.3
28,pod save america,0.3
28,pod save america,0.4
28,pod save america,0.8
28,pod save america,0.5
28,pod save america,0.2
28,pod save america,1
28,pod save america,0.8
29,pod save america,0.1
29,pod save america,0.6
29,pod save america,0.1
29,pod save america,0.5
29,pod save america,0.5
29,pod save america,0
29,pod save america,0.6
29,pod save america,0.1
30,pod save america,1
30,pod save america,0.8
30,pod save america,0.5
30,pod save america,0.8
30,pod save america,0.5
30,pod save america,0.9
30,pod save america,0.1
30,pod save america,1
31,pod save america,0.9
31,pod save america,0.1
31,pod save america,0.3
31,pod save america,0.9
31,pod save america,0.1
31,pod save america,0.7
31,pod save america,0.2
31,pod save america,0.6
31,pod save america,0.5
32,Common Sense with Dan Carlin,0.8
32,Common Sense with Dan Carlin,1
32,Common Sense with Dan Carlin,0.7
32,Common Sense with Dan Carlin,0.5
32,Common Sense with Dan Carlin,0.4
32,Common Sense with Dan Carlin,0.9
32,Common Sense with Dan Carlin,0.9
32,Common Sense with Dan Carlin,0.8
32,Common Sense with Dan Carlin,0.5
33,The Wilderness,0
33,The Wilderness,0.5
33,The Wilderness,0.9
33,The Wilderness,0.5
33,The Wilderness,0.9
33,The Wilderness,0.3
33,The Wilderness,0.8
33,The Wilderness,0.9
33,The Wilderness,0.1
34,mark levin,0.5
34,mark levin,0
34,mark levin,1
34,mark levin,0.5
34,mark levin,1
34,mark levin,0.5
35,mark levin,0.8
35,mark levin,0
35,mark levin,0.9
35,mark levin,0.5
35,mark levin,0.8
36,FiveThirtyEight Politics,1
36,FiveThirtyEight Politics,0.1
36,FiveThirtyEight Politics,0.8
36,FiveThirtyEight Politics,0.8
36,FiveThirtyEight Politics,0.7
36,FiveThirtyEight Politics,1
36,FiveThirtyEight Politics,0.1
36,FiveThirtyEight Politics,1
37,THE SAVAGE NATION,1
37,THE SAVAGE NATION,0.3
37,THE SAVAGE NATION,0.8
37,THE SAVAGE NATION,0.9
37,THE SAVAGE NATION,0.5
37,THE SAVAGE NATION,0.7
38,The Rubin Report,0.8
38,The Rubin Report,0.1
38,The Rubin Report,0.5
38,The Rubin Report,0.1
38,The Rubin Report,0.7
38,The Rubin Report,0.5
39,ben shapiro,1
39,ben shapiro,0.2
39,ben shapiro,0.4
39,ben shapiro,0.5
39,ben shapiro,0.5
39,ben shapiro,0.1
39,ben shapiro,0.7
39,ben shapiro,0.5
39,ben shapiro,0.1
40,Bill OReillys No Spin News and Analysis,0.2
40,Bill OReillys No Spin News and Analysis,0.2
40,Bill OReillys No Spin News and Analysis,0.9
40,Bill OReillys No Spin News and Analysis,1
40,Bill OReillys No Spin News and Analysis,0.5
40,Bill OReillys No Spin News and Analysis,0.3
40,Bill OReillys No Spin News and Analysis,0.5
40,Bill OReillys No Spin News and Analysis,0.2
41,FiveThirtyEight Politics,0.8
41,FiveThirtyEight Politics,0.4
41,FiveThirtyEight Politics,0.5
41,FiveThirtyEight Politics,0.1
41,FiveThirtyEight Politics,0.7
41,FiveThirtyEight Politics,0.1
41,FiveThirtyEight Politics,0.2
41,FiveThirtyEight Politics,0.7
42,mark levin,0.3
42,mark levin,0.1
42,mark levin,0.1
42,mark levin,0.5
42,mark levin,0.5
43,pod save america,0.8
43,pod save america,0.5
